title:あいしあう【愛合】	type:［新項目］	date:2012年10月03日	citation:そして二人の魂は、不識（しらず）に温和に愛し合ふ	book:中原中也詩集/単行本/1981年/中原中也/（青空文庫）/	explanation:〔他ワ五〕互いに愛する。	comment:コメント：もう一つの語釈のために。	reply:第２版では、立項されませんでした。
title:ぼこぼこ	type:［語釈］	date:2013年02月01日	citation:そのボーイのことを社長に言ったら、その日のうちにそいつ、ボコボコに殴られて店を追い出されました。	book:風俗の人たち/単行本/1997年/永沢光雄/460/筑摩書房	explanation:〔二〕（形動）徹底的に殴るさま。	comment:コメント：とりあえず。	reply:第２版では、「土、地面、木などがやわらかくてへこみやすいさま。ぼくぼく」となっています。
title:ききあさる【聞漁・聴漁】	type:［新項目］	date:2013年02月10日	citation:ただ情報を聞きあさることで眞実に達せられるような氣持になってきて	book:わだつみのこえに応える―日本の良心 /単行本/1950年/東京大学消費生活協同組合出版部/116/東大協同組合出版部	explanation:〔他ラ五（四）〕探し求めて、いろいろな話や音楽を手当たり次第に聞く。	comment:コメント：「よみあさる」に似ています。	reply:第２版では、立項されませんでした。
title:あげしぶる【上渋】	type:［新項目］	date:2013年02月03日	citation:その後、市場価格は上げ渋っており	book:きっちり儲けたい人のFXチャートの鉄人必勝分析術/単行本/2010年/田嶋智太郎 /193/西東社	explanation:〔自ラ五〕（相場が）なかなか上がらない。	comment:コメント：Google Books で「上げ渋る」を検索すると、1955 年の Keiyu という雑誌にあるようなのですが、詳しいことがわからないため、とりあえず新しいものから。「下げ渋る」も使われています。	reply:第２版では、立項されませんでした。
title:あらぶる【荒振】	type:［新項目］	date:2013年02月04日	citation:&amp;#21373;ち、神は山をも移して海に入れることができ、瀕死の病人をも生かすことができ、癩病人をも清め、盲人の目を開き、癲&amp;#30286;もちも、中風も、唖も、すべて癒し、荒ぶる波さへ靜めることができる。	book:キリスト聖語読本/単行本/1937年/佐野勝也/120/第一書房	explanation:〔自ラ五（四）〕荒れ狂う。	comment:コメント：近頃「荒ぶる」の動詞用法（「あいつ最近荒ぶってんな」のようなもの）が広がっていますが、その萌芽は戦前からあったようです。	reply:第２版では、立項されませんでした。
title:あまじょっぱい【甘塩】	type:［新項目］	date:2013年02月03日	citation:甘じょっぱい「具足煮」にしたりする。	book:聞き書 静岡の食事/単行本/1986年/「日本の食生活全集 静岡」編集委員会/110/農山漁村文化協会	explanation:〔名〕甘みと塩辛さがまじった味である。	comment:コメント：「あまずっぱい」に似た構成の語です。	reply:第２版では、立項されませんでした。
title:あげつらねる【挙連】	type:［新項目］	date:2013年02月03日	citation:議論は、主に芝野さんが、JISの包摂基準を盾に情報交換の際の一貫性と利便性を確保する側から、過度な字形への拘泥に反対する立場をとったのに対して、鳥飼さん、松岡さんが、出版業界の現状や漢字使用の伝統を踏まえたうえで情報機器による世上の混乱を挙げ連ねる、という構図で進んだ。	book:ユニコード戦記 ─文字符号の国際標準化バトル/単行本/2011年/小林龍生/85/東京電機大学出版局	explanation:（主に悪いところを）いちいち列挙する。	comment:コメント：あげつらう【論】からの転訛という可能性がありますが、それなりに使われているようです。とりあえず新しいものから。	reply:第２版では、立項されませんでした。
title:いいつたわる【言伝】	type:［新項目］	date:2013年02月04日	citation:こんにち心なき梅樹ですら主のあとをしたって飛んでいったと言い伝わる。	book:飛梅余香/単行本/1967年/菅原通済/3/実業之世界社	explanation:〔自ラ五（四）〕言い伝えられる。	comment:コメント：Google Books より。「言い伝える」の自動詞。	reply:第２版では、立項されませんでした。
title:いきのこす【生残】	type:［新項目］	date:2013年02月04日	citation:「神様が、いい人ばかりを生き残す。」	book:太宰治全集 書簡集/単行本/1960年/太宰治/63/筑摩書房	explanation:〔他サ五（四）〕生き残らせる。	comment:コメント：Google Books より。画像がはっきりしないのですが、「書簡集」のように見えます。「生き残す」は「生き残る」の他動詞形としてそれなりに使われているようです。	reply:第２版では、立項されませんでした。
title:いもい【芋】	type:［新項目］	date:2013年02月04日	citation:「いもっぽい」「いもい」ーーやぼったい	book:昭和三十五年生まれ―わが世代/単行本/1982年/河出書房新社/120/河出書房新社	explanation:〔形口〕やぼったい。	comment:コメント：文中での使用例があればよかったのですが、ネットで調べた範囲では見つかりませんでした。口語としてはそれなりの広がりがあったものだと記憶しています。	reply:第２版では、立項されませんでした。
title:いりまぜる【入混・入交・入雑】	type:［新項目］	date:2013年02月04日	citation:2種類の葉をランダムに入り混ぜる。	book:フラワーペインティングバイブル/単行本/2009年/沖 昭子/25ページ/日本ヴォーグ社	explanation:〔他ザ下一〕「いれまぜる（入交・入雑）」に同じ。	comment:コメント：「いりまじる」と「いれまぜる」の混用だと思います。	reply:第２版では、立項されませんでした。
title:とちくるう【―狂】	type:［新項目］	date:2013年02月16日	citation:こんなトチくるった法令が過去にも？	book:東京・オブ・ザ・キャット/単行本/2012年/森 晶麿/12/PHP研究所	explanation:〔自ワ五〕異常な行動や言動をする。	comment:コメント：「とち狂う」は「とちぐるう」として立項されていたのに気付かず失礼しました（「どつく」も「どづく」でしたね）。ただ、「とちぐるう」の項には「とちくるう」の読みがなかったため、読みのわかるもので改めて。今はこちらが主流だと思います。	reply:確例ですね。
title:うらびれる	type:［新項目］	date:2013年02月04日	citation:どこへ行っても、廃線、廃駅がうらびれた姿をさらしている。	book:小田実全仕事 ６ 何でも見てやろう 終結のなかの発端/単行本/1971年/小田 実/19/河出書房新社	explanation:〔自ラ下一〕「うらぶれる」に同じ。	comment:コメント：「うらぶれる」の転訛だと思いますが、それなりに使われる形だと思います。	reply:第２版では立項されませんでした。
title:うるわす【潤】	type:［新項目］	date:2013年02月04日	citation:これらの中には,採算がとれて,自治体の財政をうるわすものもあるが,現状では,その大半が当初の見込みを割り込み,財政に負担をかけている。	book:現代史からみた法と社会/単行本/1999年/大島 和夫/108/法律文化社	explanation:〔他サ五（四）〕うるおわせる。	comment:コメント：変則的な形だと思いますが。このほかには、1981年の「公用文用字用語例集」などにもあるようです。	reply:第２版では、立項されませんでした。
